Name,RA,DE,Redshift,Vlsr,DistMpc,SDSSu,SDSSg,SDSSr,SDSSi,Re,R50,Ellipticity,PA,Mstar
CGCG429-012,22.613847,14.386880,0.017511,5162.886503,73.863060,16.118945,14.730252,13.744393,14.114960,10.570733,9.037957,0.958985,-23.980132,10.3634
IC0776,12.317533,8.856200,0.008809,2619.642895,37.870285,15.766597,15.191350,14.740005,14.922198,24.396990,25.640345,0.708797,-29.220895,8.68032
IC1079,14.943380,9.369700,0.029199,8511.092500,121.480572,15.885602,14.159809,13.212350,13.498830,13.259942,16.721964,0.729890,-2.776318,11.2361
IC1528,0.084827,-7.093400,0.012647,3746.762100,51.985081,15.141120,14.134556,13.362871,13.628719,21.618839,23.012174,0.940695,-16.272920,9.96291
IC1755,1.952720,14.549900,0.026265,7677.982774,108.410150,16.210193,14.583565,13.544304,13.881177,12.282392,12.262774,0.871561,-23.783228,10.947
IC2095,4.812747,-5.124600,0.010166,3019.224759,41.033442,16.292964,15.949546,15.474189,15.668391,14.531109,18.951560,0.695279,25.679337,8.58098
IC2098,4.845633,-5.418400,0.009339,2775.822073,37.584409,16.166321,15.006695,13.939712,14.326991,19.030612,20.066357,0.990523,6.380845,9.62692
IC2101,4.861713,-6.231500,0.014889,4401.243199,60.421864,15.345904,14.405299,13.594588,13.888286,24.220999,22.295952,0.944591,-36.206329,9.96512
IC2341,8.394847,21.434900,0.017009,5017.219345,71.454201,15.460212,13.906436,13.078189,13.332069,11.361584,10.590577,0.698715,10.237805,10.5555
IC3598,12.622520,28.208200,0.025537,7470.265998,107.515489,16.246534,14.593241,13.563391,13.864412,12.303635,11.225451,0.471614,-36.474771,10.9506
IC5309,23.319899,8.109500,0.013807,4085.742892,58.052883,15.540540,14.463085,13.575586,13.872295,17.482564,21.738554,0.932532,7.921351,10.0498
MCG-01-01-012,23.986334,-4.191600,0.018969,5584.893525,78.105103,16.384594,14.817290,13.693547,14.078761,22.355825,29.373360,0.691439,-28.556642,10.5482
MCG-01-09-006,3.146753,-7.040600,0.029055,8470.302650,117.820373,15.811621,14.666360,13.835311,14.114789,15.890007,17.399449,0.697616,11.969928,10.6221
MCG-01-10-015,3.644213,-5.347300,0.013601,4025.650424,55.271607,15.799779,14.816074,14.043771,14.295395,19.636346,19.644539,0.923966,-14.038653,9.75644
MCG-01-10-019,3.678607,-6.415200,0.017546,5173.092764,71.356015,15.845535,14.820290,14.101187,14.341978,19.286056,25.640345,0.691715,23.402071,9.9528
MCG-01-52-012,20.630548,-6.090840,0.012817,3796.466167,53.724257,15.410753,13.985116,13.050268,13.400283,11.013255,9.541633,0.754944,-13.056461,10.291
MCG-01-54-016,21.433327,-3.809000,0.009819,2917.130668,41.298262,16.045198,15.411181,14.825976,15.056448,23.334664,25.419254,0.938162,27.570845,8.90708
